date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:50:06	228682/228682	---M--	200	added ('OK')	image/jpeg	etag:%2237c7caf49850d91:0%22	http://dongthinh.com.vn/dichvu_images/1813/thai-cong-nghiep%20(5).jpg	E:/My%20Web%20Sites/clone/dongthinh.com.vn/dichvu_images/1813/thai-cong-nghiep%20(5).jpg	(from http://dongthinh.com.vn/nganh/14563/thiet-ke-thi-cong-xu-ly-nuoc-thai-cong-nghiep.html)
11:50:07	150397/150397	---M--	200	added ('OK')	image/jpeg	etag:%224dd68bb29950d91:0%22	http://dongthinh.com.vn/sanpham_images/1813/thiet-bi%20(2).jpg	E:/My%20Web%20Sites/clone/dongthinh.com.vn/sanpham_images/1813/thiet-bi%20(2).jpg	(from http://dongthinh.com.vn/nganh/14826/thiet-bi-xu-ly-nuoc-thiet-bi-moi-truong.html)
11:51:28	512244/512244	---M--	200	added ('OK')	image/jpeg	etag:%224533ee84a150d91:0%22	http://dongthinh.com.vn/thuvienanh_images/1813/du-an%20(11).jpg	E:/My%20Web%20Sites/clone/dongthinh.com.vn/thuvienanh_images/1813/du-an%20(11).jpg	(from http://dongthinh.com.vn/thuvienanh)
11:51:28	507781/507781	---M--	200	added ('OK')	image/jpeg	etag:%224e78592a150d91:0%22	http://dongthinh.com.vn/thuvienanh_images/1813/du-an%20(23).jpg	E:/My%20Web%20Sites/clone/dongthinh.com.vn/thuvienanh_images/1813/du-an%20(23).jpg	(from http://dongthinh.com.vn/thuvienanh)
11:52:28	373407/373407	---M--	200	added ('OK')	image/jpeg	etag:%221dcc8992a150d91:0%22	http://dongthinh.com.vn/thuvienanh_images/1813/du-an%20(2).jpg	E:/My%20Web%20Sites/clone/dongthinh.com.vn/thuvienanh_images/1813/du-an%20(2).jpg	(from http://dongthinh.com.vn/thuvienanh)
11:52:47	484204/484204	---M--	200	added ('OK')	image/jpeg	etag:%221dcc8992a150d91:0%22	http://dongthinh.com.vn/thuvienanh_images/1813/du-an%20(7).jpg	E:/My%20Web%20Sites/clone/dongthinh.com.vn/thuvienanh_images/1813/du-an%20(7).jpg	(from http://dongthinh.com.vn/thuvienanh)
11:53:04	1149757/1149757	---M--	200	added ('OK')	image/jpeg	etag:%224533ee84a150d91:0%22	http://dongthinh.com.vn/thuvienanh_images/1813/du-an%20(10).jpg	E:/My%20Web%20Sites/clone/dongthinh.com.vn/thuvienanh_images/1813/du-an%20(10).jpg	(from http://dongthinh.com.vn/thuvienanh)
11:53:13	1149757/1149757	---M--	200	added ('OK')	image/jpeg	etag:%22ac698792a150d91:0%22	http://dongthinh.com.vn/thuvienanh_images/1813/du-an%20(26).jpg	E:/My%20Web%20Sites/clone/dongthinh.com.vn/thuvienanh_images/1813/du-an%20(26).jpg	(from http://dongthinh.com.vn/thuvienanh)
11:53:18	309583/309583	---M--	200	added ('OK')	image/jpeg	etag:%221dcc8992a150d91:0%22	http://dongthinh.com.vn/thuvienanh_images/1813/du-an%20(12).jpg	E:/My%20Web%20Sites/clone/dongthinh.com.vn/thuvienanh_images/1813/du-an%20(12).jpg	(from http://dongthinh.com.vn/thuvienanh)
11:54:08	504181/504181	---M--	200	added ('OK')	image/jpeg	etag:%22b093f69ea150d91:0%22	http://dongthinh.com.vn/thuvienanh_images/1813/du-an%20(14).jpg	E:/My%20Web%20Sites/clone/dongthinh.com.vn/thuvienanh_images/1813/du-an%20(14).jpg	(from http://dongthinh.com.vn/thuvienanh)
